"","Site","lat","long","SOC","CLAY","pGPP","TSOI","lig_N","MIMSOC","MIMMIC","MIMLIT","MIM_CO","LITm","LITs","MICr","MICK","SOMa","SOMc","SOMp","desorb","JITn","DEBUG","run_num","Vslope_x","Vint_x","Kslope_x","Kint_x","Tau_x","CUE_x","desorb_x","fPHYS_x","RMSE"
"1","S4",43.06445505,-116.7485868,4.83,20.5,362.0429993,7.9433599,11.6999998,5.40146212140837,0.0504204938561545,1.05287255743029,0.507362499584917,0.157640939472397,0.895231617957892,0.0169710124805472,0.0334494813756073,0.316155709478175,0.536850869248654,3.4451624913951,8.65568760154969e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"2","S20",43.06634802,-116.7599298,2.93,20.7000008,894.9619751,8.3442497,11.6999998,7.72016930109929,0.0856880599894904,0.966304278944023,0.508411586315351,0.144083650089135,0.822220628854889,0.0288812436226103,0.0568068163668801,0.290335953259471,0.492999275577377,5.88484173332893,8.62975934686073e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"3","S22",43.066713,-116.7573279,7.29,20.5,1238.099976,6.0113201,0,10.4049894731227,0.108373455822,1.59456965624092,0.50754254188261,0.242007719543367,1.35256193669755,0.0364859615648469,0.0718874942571529,0.485347093659667,0.810857204832453,7.40584206256765,8.65568760154969e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"4","S23",43.06685152,-116.7569076,11.25,20.57,1550.569946,7.3241401,0,11.1428225206145,0.129049535608745,1.20317738341606,0.507909343678568,0.18082607759693,1.02235130581913,0.0434677755714164,0.0855817600373289,0.363241351040661,0.612854385748041,8.83449986480097,8.64660389934628e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"5","S33",43.06860897,-116.7900028,5.07,19.7000008,1020.729981,9.37817,46.7999992,7.78155166479045,0.093942028331661,0.774027468777822,0.503774081205066,0.115214814873221,0.658812653904601,0.0314711894564627,0.0624708388751983,0.226690136638857,0.394965578129094,6.29192645291302,8.76018145748794e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"6","S44",43.07859069,-116.8259174,5.67,20.3990993,1024.729981,7.94872,11.6999998,8.41291141497166,0.0942426006599107,1.04547509794888,0.507247813496,0.157288983397855,0.888186114551021,0.0317163194365737,0.062526281223337,0.315234473652039,0.533384115308345,6.42457512740249,8.66879799447535e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"7","S54",43.08383388,-116.7426316,4,24.6000004,197.4669952,10.7011995,11.6999998,4.10644912148006,0.0396868447132262,0.579239450513178,0.526259817459568,0.0834723900935724,0.495767060419605,0.0136841653140632,0.026002679399163,0.183832922704492,0.297941207537183,3.00574869601198,8.13940128468109e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"8","S56",43.10206491,-116.8024789,2.39,20.7000008,680.4650269,11.4967003,11.6999998,5.86867572113749,0.0714966055631397,0.49119958597004,0.508366047052732,0.0716117822509187,0.419587803719121,0.024096569144367,0.0474000364187727,0.14430430983584,0.251606874202184,4.91006834556629,8.62975934686073e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"9","S72",43.10253977,-116.7837883,8.15,20.3999996,1135.640015,9.6892405,22,8.33456924751553,0.101591191192454,0.724078296590083,0.507012646216535,0.107117252375545,0.616961044214537,0.0341788894791896,0.0674123017132643,0.214313491474642,0.369896633183921,6.92468963507443,8.6686809274833e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"10","S76",43.10454054,-116.7381214,1.59,24.6000004,4.6346002,10.9979,11.6999998,3.05596251354817,0.0269023156234343,0.542340115398414,0.524615835243331,0.0782344225466631,0.464105692851751,0.00925700786684746,0.0176453077565869,0.172177871276105,0.279092008032745,2.03545020321747,8.13940128468109e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"11","S94",43.10638402,-116.7730514,4.82,14.3000002,408.7380066,11.1058998,11.6999998,4.11912447492756,0.0532795633955305,0.534104373940355,0.480811729834192,0.0808200548032139,0.453284319137141,0.0172995921931844,0.0359799712023461,0.138307185498873,0.271631755718897,3.12180159637391,9.49928590663728e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"12","S102",43.11066219,-116.7333353,6.65,22.2999992,538.6149902,7.0387502,21.3603001,6.83844460872017,0.0621852037426891,1.27866963682547,0.516032434230262,0.190685587297098,1.08798404952837,0.0211668176325908,0.0410183861100983,0.398756032211816,0.652537828609098,4.4462959073311,8.42511093119254e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"13","S108",43.12158715,-116.787974,5.06,14.3,689.4979858,7.6333899,11.7,6.27156534142754,0.0717727602557348,1.12562306869857,0.480884989042626,0.174569297235391,0.951053771463181,0.0233066330501812,0.0484661272055536,0.298744378914324,0.569854071536808,4.2055710620221,9.49928593513514e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"14","S109",43.12187239,-116.785596,10.22,14.3,873.5079956,7.2474699,11.7,7.16690029095425,0.0838934865700092,1.22291599426599,0.480909922986383,0.19017688359208,1.03273911067391,0.0272435274686273,0.0566499591013819,0.325453098653011,0.618765257461844,4.9158724540034,9.49928593513514e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
