"","i","iter","Vslope_x","Vint_x","Kslope_x","Kint_x","Tau_x","CUE_x","desorb_x","fPHYS_x","slope","r2","RMSE","MICpropSOC","LITpropSOC","improve"
"1",0,1,1,1,1,1,1,1,1,1,0,0,3.5,0,0,1
"2",1,1,1.15364575607236,1.34479329420719,2.97497266635764,0.7665321776981,1,1,1,1,1.12,0.767,2.13780403670031,0.0350022758339164,0.0389741921039063,1
"3",1,2,1.15364575607236,1.34479329420719,2.97497266635764,0.7665321776981,1.83789806494024,0.488907696283422,1,1,3.46,0.743,3.58590660137446,0.00832377923470088,0.338168545368366,0
"4",1,3,1.15364575607236,1.34479329420719,2.97497266635764,0.7665321776981,1,1,0.526099747559056,0.991874882229604,0.6,0.767,3.48144529295292,0.0196594754496159,0.0222030577665237,0
"5",2,4,1.65002174978144,2.81849821517244,3.178959298064,1.60654398264829,1,1,1,1,1.13,0.769,2.274170650336,0.0382906419347124,0.000160559576028538,0
"6",2,5,1.15364575607236,1.34479329420719,2.97497266635764,0.7665321776981,0.405101561080664,2.75729281981476,1,1,-0.1,-0.425,193.607311572723,0,1,0
"7",2,6,1.15364575607236,1.34479329420719,2.97497266635764,0.7665321776981,1,1,1.05211845820304,1.25541368604172,1.04,0.769,1.99131041164736,0.0316416480684679,0.0358191778284069,1
"8",3,7,1.92512433836237,2.38452975428663,3.0428024266148,1.35918195994338,1,1,1.05211845820304,1.25541368604172,1.05,0.772,2.08886227035675,0.0344271615441834,0.000574421577263006,0
"9",3,8,1.15364575607236,1.34479329420719,2.97497266635764,0.7665321776981,0.865685443533584,2.76353680503089,1.05211845820304,1.25541368604172,-0.1,-0.436,193.220894549966,0,1,0
"10",3,9,1.15364575607236,1.34479329420719,2.97497266635764,0.7665321776981,1,1,0.989832482091151,2.13032518180553,0.73,0.75,2.51675612604571,0.0227750215844447,0.0253958276068786,0
"11",4,10,1.62507041671779,1.67550899437629,1.58128688018769,0.955040126794483,1,1,1.05211845820304,1.25541368604172,1.05,0.772,2.06945828437985,0.0340108908748727,0.00567804967306342,0
"12",4,11,1.15364575607236,1.34479329420719,2.97497266635764,0.7665321776981,2.15800439631566,0.988972364575602,1.05211845820304,1.25541368604172,1.08,0.765,1.9684345836825,0.0135434546293385,0.0729907452640363,1
"13",4,12,1.15364575607236,1.34479329420719,2.97497266635764,0.7665321776981,2.15800439631566,0.988972364575602,2.80271232151426,1.6763706715079,2.11,0.728,3.51036010013514,0.0248390460146258,0.126914738244796,0
"14",5,13,3.06002079835162,1.20705489558168,0.774475537007675,0.688021290481556,2.15800439631566,0.988972364575602,1.05211845820304,1.25541368604172,1.08,0.778,2.06512096741863,0.0153510279854743,0.0229127446558442,0
"15",5,14,1.15364575607236,1.34479329420719,2.97497266635764,0.7665321776981,2.8212616446428,1.90925802986603,1.05211845820304,1.25541368604172,-0.1,-0.434,193.300158558231,0,1,0
"16",5,15,1.15364575607236,1.34479329420719,2.97497266635764,0.7665321776981,2.15800439631566,0.988972364575602,2.86859089089558,0.213989010686055,7.36,0.693,4.89413987550602,0.0637306121203985,0.267974140886252,0
"17",6,16,3.88554581103381,2.91059262200724,1.24355132691562,1.65903779454413,2.15800439631566,0.988972364575602,1.05211845820304,1.25541368604172,1.04,0.732,2.29119150823508,0.0158967136016995,4.31925893416035e-05,0
"18",6,17,1.15364575607236,1.34479329420719,2.97497266635764,0.7665321776981,2.3253228279762,2.45821304148994,1.05211845820304,1.25541368604172,-0.11,-0.44,193.067658175334,0,1,0
