"","i","iter","Vslope_x","Vint_x","Kslope_x","Kint_x","Tau_x","CUE_x","desorb_x","fPHYS_x","slope","r2","RMSE","MICpropSOC","LITpropSOC","improve"
"1",0,1,1,1,1,1,1,1,1,1,0,0,3.5,0,0,1
"2",1,1,2.25760259083472,3.74950305593666,0.515530488570221,2.13721674188389,1,1,1,1,0.2,0.165,3.44083342228725,0.0509822859151591,1.09142580289188e-05,0
"3",1,2,1,1,1,1,0.218990467768163,1.23645240110345,1,1,0.11,0.189,4.35588111137052,0.154974192427572,0.0451630113374608,0
"4",1,3,1,1,1,1,1,1,0.451269826199859,2.66538519440219,0.06,0.189,10.558119458838,0.00651057103201068,0.17269304386938,0
"5",2,4,2.14026767702308,1.72950023435988,2.06554608070292,0.985815133585129,1,1,1,1,0.19,0.154,3.45433507072394,0.0444086004403422,0.0162291735066925,1
"6",2,5,2.14026767702308,1.72950023435988,2.06554608070292,0.985815133585129,0.87053320214618,0.720179619453847,1,1,0.36,0.159,3.87203848033024,0.0452725631371461,0.0446909645869567,0
"7",2,6,2.14026767702308,1.72950023435988,2.06554608070292,0.985815133585129,1,1,1.51190132687334,2.30386650178116,0.22,0.191,3.34076775076547,0.0405007474505402,0.0149637473801698,1
"8",3,7,0.810838102712296,1.08655471820384,3.93340212607291,0.61933618937619,1,1,1.51190132687334,2.30386650178116,0.01,0.011,3.72996585031171,0.0235282549810877,0.181453741376772,0
"9",3,8,2.14026767702308,1.72950023435988,2.06554608070292,0.985815133585129,2.64679321360309,0.921060433401726,1.51190132687334,2.30386650178116,0.26,0.184,3.4034667057815,0.0139570409747112,0.0516449116338858,0
"10",3,9,2.14026767702308,1.72950023435988,2.06554608070292,0.985815133585129,1,1,2.55315460383426,0.336120443418622,1.08,0.192,4.41464574626342,0.190458554243189,0.0575793126948739,0
"11",4,10,2.4465593151981,3.96480781224091,2.4886960578151,2.25994045297732,1,1,1.51190132687334,2.30386650178116,0.11,0.118,3.72323581998964,0.0383162418764017,1.18883322396632e-05,0
"12",4,11,2.14026767702308,1.72950023435988,2.06554608070292,0.985815133585129,2.53318241981324,2.50423505029175,1.51190132687334,2.30386650178116,0.08,0.559,29.0442662632059,0,1,0
