"","i","iter","Vslope_x","Vint_x","Kslope_x","Kint_x","Tau_x","CUE_x","desorb_x","fPHYS_x","slope","r2","RMSE","MICpropSOC","LITpropSOC","SOMpTO","improve"
"1",0,1,1,1,1,1,1,1,1,1,0,0,3.5,0,0,0,1
"2",1,1,1.67454981186893,3.9411211166298,0.958369023399428,2.24643903647899,1,1,1,1,0.42,0.157,4.0539723995289,0.0510246148762037,1.34131377414427e-05,NA,0
"3",1,2,1,1,1,1,1.00374952533748,1.02893097952474,1,1,1.35,0.668,1.92110247560618,0.00912056565017663,0.273410523932242,NA,1
"4",1,3,1,1,1,1,1.00374952533748,1.02893097952474,0.615709365089424,0.712478142557666,1.04,0.595,2.09179652367174,0.00860416383482955,0.269262831301591,NA,0
"5",2,4,2.69676790595986,1.88475281768478,3.59435681556351,1.07430910608033,1.00374952533748,1.02893097952474,1,1,0.42,0.167,3.96515188673435,0.0475069579442116,0.0195874312754677,NA,0
"6",2,5,1,1,1,1,1.19668596882839,0.302562822704203,1,1,0.42,0.735,14.0954097152258,0.000306016002988212,0.656934662567671,NA,0
"7",2,6,1,1,1,1,1.00374952533748,1.02893097952474,2.06790501333307,1.05929987099953,1.99,0.773,1.76100001771038,0.0105277615957539,0.297928871685985,NA,1
"8",3,7,2.63512090733275,0.747419643215835,0.619146684883162,0.426029196633026,1.00374952533748,1.02893097952474,2.06790501333307,1.05929987099953,0.67,0.566,2.77745603312165,0.0294487289690891,0.223010461139368,NA,0
"9",3,8,1,1,1,1,1.21613869778812,2.68499053879641,2.06790501333307,1.05929987099953,0,0.514,2411.82116731289,0,1,NA,0
"10",3,9,1,1,1,1,1.00374952533748,1.02893097952474,2.62601282212418,1.43520662041847,1.93,0.773,1.75637434709262,0.0105296892086406,0.28775053135879,NA,1
"11",4,10,2.57239174121059,0.880973672377877,1.17267595836893,0.50215499325539,1.00374952533748,1.02893097952474,2.62601282212418,1.43520662041847,1.46,0.644,3.18339923508794,0.0345382414778351,0.202604147405015,NA,0
"12",4,11,1,1,1,1,0.902479981118813,1.57672566564288,2.62601282212418,1.43520662041847,0.01,0.043,14.324379085379,0.0543784420627877,0.0386377520541832,NA,0
"13",4,12,1,1,1,1,1.00374952533748,1.02893097952474,2.10119067814667,2.49855630334932,1.27,0.677,2.07706062974647,0.00968637605735155,0.247572092742485,NA,0
"14",5,13,1.3871862461092,2.00220031745266,1.57941476523411,1.14125418094802,1.00374952533748,1.02893097952474,2.62601282212418,1.43520662041847,0.85,0.173,4.3796191920028,0.090503729784638,0.0243136001942225,NA,0
