FID,site_code,location_name,lat,long,gap_num,gap_size,gaps,depth,analyte_avg,soil_lyrs_n,calc_notes
1,RCCZO,Reynolds Creek CZO,43.06432248,-116.74870780,0,0,NA,30,1100,4,
2,RCCZO,Reynolds Creek CZO,43.06432765,-116.74869730,0,0,NA,30,1060,4,
3,RCCZO,Reynolds Creek CZO,43.06445426,-116.74893670,0,0,NA,30,1063.333333,4,
4,RCCZO,Reynolds Creek CZO,43.06445505,-116.74858680,0,0,NA,30,1323.333333,4,
5,RCCZO,Reynolds Creek CZO,43.06445829,-116.74892530,0,0,NA,30,1125,4,
6,RCCZO,Reynolds Creek CZO,43.06447579,-116.74856310,0,0,NA,30,2233.333333,4,
7,RCCZO,Reynolds Creek CZO,43.06453203,-116.74856460,0,0,NA,30,1230,4,
8,RCCZO,Reynolds Creek CZO,43.06453904,-116.74856570,0,0,NA,30,1613.333333,4,
9,RCCZO,Reynolds Creek CZO,43.06462153,-116.74846030,0,0,NA,30,1310,4,
10,RCCZO,Reynolds Creek CZO,43.06462765,-116.74846210,0,0,NA,30,1416.666667,4,
11,RCCZO,Reynolds Creek CZO,43.06520205,-116.75933480,0,0,NA,30,784.375,4,trim: loess approx to 30 cm
12,RCCZO,Reynolds Creek CZO,43.06615759,-116.75960670,0,0,NA,30,988.3333333,4,
13,RCCZO,Reynolds Creek CZO,43.06616154,-116.75961880,0,0,NA,30,840,4,
14,RCCZO,Reynolds Creek CZO,43.06628002,-116.75957120,0,0,NA,30,726.6666667,4,
15,RCCZO,Reynolds Creek CZO,43.06628867,-116.75955940,0,0,NA,30,718.3333333,4,
16,RCCZO,Reynolds Creek CZO,43.06630099,-116.75978590,0,0,NA,30,740,4,
17,RCCZO,Reynolds Creek CZO,43.06630299,-116.75980210,0,0,NA,30,823.3333333,4,
18,RCCZO,Reynolds Creek CZO,43.06631224,-116.75970870,0,0,NA,30,740.5555556,4,
19,RCCZO,Reynolds Creek CZO,43.06634097,-116.75970930,0,0,NA,30,691.6666667,4,
20,RCCZO,Reynolds Creek CZO,43.06634802,-116.75992980,0,0,NA,30,763.3333333,4,
21,RCCZO,Reynolds Creek CZO,43.06635071,-116.75992430,0,0,NA,30,781.6666667,4,
22,RCCZO,Reynolds Creek CZO,43.06671300,-116.75732790,0,0,NA,30,4143.6,3,trim: loess approx to 30 cm
