"","site_code","location_name","sample_collector","lat","long","gap_num","gap_size","gaps","depth","analyte_avg","analyte_tot","soil_lyrs_n","layer_tops","calc_notes"
"1","RCCZO","Reynolds Creek CZO","Ryan Will",43.06432248,-116.7487078,0,0,NA,30,1100,4040,4,"0,5,10,20,30,40,50,60,70,80",""
"2","RCCZO","Reynolds Creek CZO","Ryan Will",43.06432765,-116.7486973,0,0,NA,30,1060,3970,4,"0,5,10,20,30,40,50,60,70,80",""
"3","RCCZO","Reynolds Creek CZO","Ryan Will",43.06445426,-116.7489367,0,0,NA,30,1063.33333333333,4020,4,"0,5,10,20,30,40,50,60,70,80",""
"4","RCCZO","Reynolds Creek CZO","Ryan Will",43.06445505,-116.7485868,0,0,NA,30,1323.33333333333,4830,4,"0,5,10,20,30,40,50,60,70,80",""
"5","RCCZO","Reynolds Creek CZO","Ryan Will",43.06445829,-116.7489253,0,0,NA,30,1125,4120,4,"0,5,10,20,30,40,50,60,70,80",""
"6","RCCZO","Reynolds Creek CZO","Nicholas R. Patton",43.06447579,-116.7485631,0,0,NA,30,2233.33333333333,9160,4,"0,5,10,20,30,40,50,60,70,80",""
"7","RCCZO","Reynolds Creek CZO","Ryan Will",43.06453203,-116.7485646,0,0,NA,30,1230,4370,4,"0,5,10,20,30,40,50,60,70,80",""
"8","RCCZO","Reynolds Creek CZO","Ryan Will",43.06453904,-116.7485657,0,0,NA,30,1613.33333333333,6120,4,"0,5,10,20,30,40,50,60,70,80",""
"9","RCCZO","Reynolds Creek CZO","Ryan Will",43.06462153,-116.7484603,0,0,NA,30,1310,4860,4,"0,5,10,20,30,40,50,60,70,80",""
"10","RCCZO","Reynolds Creek CZO","Ryan Will",43.06462765,-116.7484621,0,0,NA,30,1416.66666666667,5230,4,"0,5,10,20,30,40,50,60,70,80",""
"11","RCCZO","Reynolds Creek CZO","Nicholas R. Patton",43.06520205,-116.7593348,0,0,NA,30,784.375,2906.66666666667,4,"0,5,10,20,30,40,50,60,70,80","trim: cut to 30 cm"
"12","RCCZO","Reynolds Creek CZO","Ryan Will",43.06615759,-116.7596067,0,0,NA,30,988.333333333333,3980,4,"0,5,10,20,30,40,50,60,70,80",""
"13","RCCZO","Reynolds Creek CZO","Ryan Will",43.06616154,-116.7596188,0,0,NA,30,840,3120,4,"0,5,10,20,30,40,50,60,70,80",""
"14","RCCZO","Reynolds Creek CZO","Ryan Will",43.06628002,-116.7595712,0,0,NA,30,726.666666666667,2690,4,"0,5,10,20,30,40,50,60,70,80",""
"15","RCCZO","Reynolds Creek CZO","Ryan Will",43.06628867,-116.7595594,0,0,NA,30,718.333333333333,2640,4,"0,5,10,20,30,40,50,60,70,80",""
"16","RCCZO","Reynolds Creek CZO","Ryan Will",43.06630099,-116.7597859,0,0,NA,30,740,2890,4,"0,5,10,20,30,40,50,60,70,80",""
"17","RCCZO","Reynolds Creek CZO","Ryan Will",43.06630299,-116.7598021,0,0,NA,30,823.333333333333,3330,4,"0,5,10,20,30,40,50,60,70,80",""
"18","RCCZO","Reynolds Creek CZO","Ryan Will",43.06631224,-116.7597087,0,0,NA,30,740.555555555555,2826.66666666667,4,"0,5,10,20,30,40,50,60,70,80",""
"19","RCCZO","Reynolds Creek CZO","Ryan Will",43.06634097,-116.7597093,0,0,NA,30,691.666666666667,2650,4,"0,5,10,20,30,40,50,60,70,80",""
"20","RCCZO","Reynolds Creek CZO","Ryan Will",43.06634802,-116.7599298,0,0,NA,30,763.333333333333,2930,4,"0,5,10,20,30,40,50,60,70,80",""
"21","RCCZO","Reynolds Creek CZO","Ryan Will",43.06635071,-116.7599243,0,0,NA,30,781.666666666667,3150,4,"0,5,10,20,30,40,50,60,70,80",""
"22","RCCZO","Reynolds Creek CZO","Anna Radke",43.066713,-116.7573279,0,0,NA,30,4143.6,7290,3,"0,5,10,20,30,40,50,60,70,80","trim: cut to 30 cm"
"23","RCCZO","Reynolds Creek CZO","Anna Radke",43.06685152,-116.7569076,0,0,NA,30,3624.84848484848,11252.5,4,"0,5,10,20,30,40,50,60,70,80","trim: cut to 30 cm"
"24","RCCZO","Reynolds Creek CZO","Nicholas R. Patton",43.0673872,-116.7553338,0,0,NA,30,1176.06060606061,5330.76923076923,4,"0,5,10,20,30,40,50,60,70,80","trim: cut to 30 cm"
"25","RCCZO","Reynolds Creek CZO","Nicholas R. Patton",43.06815056,-116.7584612,0,0,NA,30,2230,10300,4,"0,5,10,20,30,40,50,60,70,80",""
"26","RCCZO","Reynolds Creek CZO","Ryan Will",43.06850393,-116.790083,0,0,NA,30,935,3560,4,"0,5,10,20,30,40,50,60,70,80",""
"27","RCCZO","Reynolds Creek CZO","Ryan Will",43.06850577,-116.7901014,0,0,NA,30,1218.33333333333,4970,4,"0,5,10,20,30,40,50,60,70,80",""
"28","RCCZO","Reynolds Creek CZO","Ryan Will",43.06857865,-116.7901687,0,0,NA,30,1436.66666666667,5220,4,"0,5,10,20,30,40,50,60,70,80",""
"29","RCCZO","Reynolds Creek CZO","Ryan Will",43.06858317,-116.7901748,0,0,NA,30,1263.33333333333,4650,4,"0,5,10,20,30,40,50,60,70,80",""
"30","RCCZO","Reynolds Creek CZO","Nicholas R. Patton",43.0685844,-116.7588933,0,0,NA,30,1816.66666666667,6700,4,"0,5,10,20,30,40,50,60,70,80",""
"31","RCCZO","Reynolds Creek CZO","Ryan Will",43.06859708,-116.7899059,0,0,NA,30,1490,6180,4,"0,5,10,20,30,40,50,60,70,80",""
"32","RCCZO","Reynolds Creek CZO","Ryan Will",43.06860611,-116.7899182,0,0,NA,30,1040,4120,4,"0,5,10,20,30,40,50,60,70,80",""
