Site,SOC,SAND,CLAY,pGPP,TSOI,MAP,CDI,SAND2,CLAY2,LIG,N,lig_N,CN
ARC,4.9,,5,-259,-7,327,0.071391667,50,5,16.6,1.37,12.11678832,36.49635036
BNZ,6.5,,5,-100,-5,403,0.097958333,50,5,25.6,0.96,26.66666667,52.08333333
NWT,7.1,50,23,-201,-3.7,1249,0.095025,39,23,16.6,1.37,12.11678832,36.49635036
HBR,8.9,71,3,304,5,1396,0.268108333,71,3,21,1.02,20.58823529,49.01960784
CDR,2.5,87,4,-123,5.5,823,0.261641667,87,4,16.6,1.37,12.11678832,36.49635036
HFR,4.6,,15,344,7.1,1152,0.2521,64,15,21,1.02,20.58823529,49.01960784
AND,6.5,55,11,400,8.6,2309,0.218058333,55,11,24.4,0.73,33.42465753,68.49315068
SGS,1.6,57,24,-284,8.9,440,0.113283333,57,24,16.6,1.37,12.11678832,36.49635036
KBS,4,50,17,31,9.7,890,0.290833333,50,17,21,1.02,20.58823529,49.01960784
CWT,3.9,55,17,1060,12.5,1906,0.3936,55,17,21,1.02,20.58823529,49.01960784
KNZ,4.6,11,39,43,12.8,791,0.305758333,11,39,16.6,1.37,12.11678832,36.49635036
JRN,0.65,82,10,-171,14.6,298,0.107008333,82,10,16.6,1.37,12.11678832,36.49635036
SEV,0.4,74,12,-216,16,254,0.087175,74,12,16.6,1.37,12.11678832,36.49635036
LUQ,4.1,24,32,650,23,3363,0.84285,51,32,17.8,0.95,18.73684211,52.63157895
