Set,Site,sample_col,lat,long,SOC,pGPP,TSOI,CLAY,lig_N
VAL,S4,Ryan Will,43.06445505,-116.7485868,4.83,362.0429993,7.9433599,20.5,11.6999998
VAL,S20,Ryan Will,43.06634802,-116.7599298,2.93,894.9619751,8.3442497,20.7000008,11.6999998
VAL,S22,Anna Radke,43.066713,-116.7573279,7.29,1238.099976,6.0113201,20.5,0
VAL,S23,Anna Radke,43.06685152,-116.7569076,11.25,1550.569946,7.3241401,20.57,0
VAL,S33,Ryan Will,43.06860897,-116.7900028,5.07,1020.729981,9.37817,19.7000008,46.7999992
VAL,S44,Ryan Will,43.07859069,-116.8259174,5.67,1024.729981,7.94872,20.3990993,11.6999998
VAL,S54,Ryan Will,43.08383388,-116.7426316,4,197.4669952,10.7011995,24.6000004,11.6999998
VAL,S56,Ryan Will,43.10206491,-116.8024789,2.39,680.4650269,11.4967003,20.7000008,11.6999998
VAL,S72,Ryan Will,43.10253977,-116.7837883,8.15,1135.640015,9.6892405,20.3999996,22
VAL,S76,Ryan Will,43.10454054,-116.7381214,1.59,4.6346002,10.9979,24.6000004,11.6999998
VAL,S94,Ryan Will,43.10638402,-116.7730514,4.82,408.7380066,11.1058998,14.3000002,11.6999998
VAL,S102,Ryan Will,43.11066219,-116.7333353,6.65,538.6149902,7.0387502,22.2999992,21.3603001
VAL,S108,Mark S. Seyfried,43.12158715,-116.787974,5.06,689.4979858,7.6333899,14.3,11.7
VAL,S109,Mark S. Seyfried,43.12187239,-116.785596,10.22,873.5079956,7.2474699,14.3,11.7
VAL,S113,Mark S. Seyfried,43.12231214,-116.779423,8.73,656.2800293,8.4466105,14.3,11.7
VAL,S116,Mark S. Seyfried,43.12292115,-116.782785,6.25,704.7609863,6.47193,14.3,11.7
VAL,S132,Mark S. Seyfried,43.12568301,-116.78562,2.03,422.1900024,11.7316999,14.3,11.7
VAL,S133,Mark S. Seyfried,43.125801,-116.782742,4.33,340.9970093,12.2889004,14.3,11.7
VAL,S135,Mark S. Seyfried,43.12633701,-116.788065,2.14,304.9509888,12.3659,14.3,11.7
VAL,S153,Ryan Will,43.14377305,-116.7690419,4.86,174.6260071,11.5256996,24.8181992,11.6999998
VAL,S167,Ryan Will,43.14401171,-116.7356334,3.49,-99.6399994,10.3395004,29.3999996,11.6999998
VAL,S171,Ryan Will,43.15047123,-116.7093699,2.01,-128.2120056,11.3430996,29.8999996,11.6999998
VAL,S182,Ryan Will,43.15738372,-116.7086039,2.63,11.7912998,10.1876001,29.8999996,11.6999998
VAL,S196,Ryan Will,43.16752432,-116.7131573,2.53,-16.8381004,10.4827003,29.7000008,11.6999998
VAL,S211,Ryan Will,43.1856935,-116.8038721,2.39,214.5110016,10.3808002,14.3000002,11.6999998
VAL,S220,Ryan Will,43.1910335,-116.7813366,3,113.7300034,11.4491997,21.7999992,11.6999998
VAL,S226,Ryan Will,43.19237763,-116.7177152,1.24,-243.0110016,11.4120998,22.7588997,11.6999998
VAL,S240,Ryan Will,43.19788121,-116.8123803,6.65,235.2810059,8.8485403,14.3000002,11.6999998
VAL,S252,Ryan Will,43.21141852,-116.7356752,2.15,-96.5361023,11.4284,23.2000008,11.6999998
VAL,S269,Ryan Will,43.23466902,-116.7465502,1.94,-163.3549957,10.8114996,22.1000004,11.6999998
VAL,S271,Ryan Will,43.24381094,-116.7069646,1.37,-269.9020081,10.9443998,12.3000002,11.6999998
VAL,S272,Ryan Will,43.24391588,-116.7288696,1.91,-235.6100006,9.7424402,12.3000002,11.6999998
VAL,S294,Ryan Will,43.24722932,-116.7379734,0.71,-122.663002,12.5579996,11.3000002,11.6999998
VAL,S304,Ryan Will,43.25439319,-116.7063661,1.96,-149.4850006,10.184,21.7999992,11.6999998
VAL,S314,Ryan Will,43.25865197,-116.7756558,1.47,-171.6009979,12.4345999,29.7000008,11.6999998
VAL,S329,Ryan Will,43.27973743,-116.8086913,4.23,77.8732986,6.6839399,30.1000004,11.6999998
VAL,S336,Ryan Will,43.28654277,-116.778822,2.49,-54.4290009,11.6964998,29.7248001,11.6999998
VAL,S139.5,Mark S. Seyfried,43.1285589,-116.7967586,7.91,1250.559998,10.8751497,20.4,18.35
CAL,S15,Nicholas R. Patton,43.12971095,-116.7934963,7.17,866.3049927,9.9629402,11.26,11.6999998
CAL,S16,Nicholas R. Patton,43.20529592,-116.7506016,1.348333333,-20.493,10.8393002,11.260625,11.6999998
CAL,S17,Nicholas R. Patton,43.12565165,-116.7811645,1.793125,394.95401,11.1189003,11.43563636,11.6999998
CAL,S18,Nicholas R. Patton,43.24720654,-116.7071648,0.68,-212.5399933,11.2952003,11.63333333,11.6999998
CAL,S19,Nicholas R. Patton,43.06815056,-116.7584612,10.3,1159.089966,7.6005998,11.77166667,11.6999998
CAL,S2,Nicholas R. Patton,43.11980227,-116.722923,5.56,517.4790039,7.6586399,6.333333333,15.5909996
CAL,S20,Nicholas R. Patton,43.06520205,-116.7593348,2.906666667,300.5150146,9.34935,11.87875,11.6999998
CAL,S22,Nicholas R. Patton,43.19273015,-116.8149283,2.73,287.8999939,9.3677101,12.28333333,11.6999998
CAL,S23,Nicholas R. Patton,43.12385697,-116.7800245,3.462142857,414.5589905,11.9081001,12.293,11.6999998
CAL,S25,Nicholas R. Patton,43.13301998,-116.7920531,6.83,179.802002,9.8768396,12.33166667,11.6999998
CAL,S27,Nicholas R. Patton,43.19159234,-116.8095646,4.628947368,365.4200134,6.9818702,12.44717949,11.6999998
CAL,S29,Nicholas R. Patton,43.12349175,-116.7874879,10.23648649,1169.189941,5.5837402,12.678,11.6999998
CAL,S3,Nicholas R. Patton,43.18866189,-116.8130672,5.91,238.8560028,9.4678097,7.375,11.6999998
CAL,S30,Nicholas R. Patton,43.18077561,-116.7145575,2.199230769,0.631347,10.4433002,13.10452381,11.6999998
CAL,S31,Nicholas R. Patton,43.12421955,-116.7895852,3.017142857,389.9700012,11.2613001,13.48833333,11.6999998
CAL,S32,Nicholas R. Patton,43.12752508,-116.7925417,5.023333333,601.0980225,10.6028996,13.516,11.6999998
CAL,S33,Nicholas R. Patton,43.12416094,-116.7826214,3.03,545.0159912,11.1452999,13.725,11.6999998
CAL,S34,Nicholas R. Patton,43.1242439,-116.7916884,3.431090909,600.0189819,11.5906,13.98132353,11.6999998
CAL,S35,Nicholas R. Patton,43.1220937,-116.7801683,4.92,612.3400269,7.7888899,14.08333333,11.6999998
CAL,S36,Nicholas R. Patton,43.19214026,-116.8079732,8.67,379.1430054,6.73283,14.18166667,11.6999998
CAL,S37,Nicholas R. Patton,43.12667447,-116.7868472,3.17,525.0319824,11.8634005,14.255,11.6999998
CAL,S38,Nicholas R. Patton,43.19243739,-116.8066319,5.67,252.7100067,7.66081,14.655,11.6999998
CAL,S39,Nicholas R. Patton,43.12449119,-116.794308,12.5,1661.640015,8.5339699,14.86333333,15.8590002
CAL,S4,Nicholas R. Patton,43.19347351,-116.810691,1.759411765,193.5010071,12.2800999,9.932162162,11.6999998
CAL,S40,Nicholas R. Patton,43.12303738,-116.7856704,5.821428571,804.0570068,6.0898199,15.234,11.6999998
CAL,S42,Nicholas R. Patton,43.11716535,-116.7257274,7.66,631.223999,7.9834599,15.65333333,11.6999998
CAL,S43,Nicholas R. Patton,43.06447579,-116.7485631,9.16,355.7160034,7.9335999,15.70833333,11.6999998
CAL,S44,Nicholas R. Patton,43.12303246,-116.7927984,9.827142857,1697.920044,7.5053802,15.81888889,11.6999998
CAL,S47,Nicholas R. Patton,43.12875942,-116.7929445,7.027777778,591.59198,10.5836,17.443,11.6999998
CAL,S48,Nicholas R. Patton,43.12317978,-116.7878097,3.768461538,794.3640137,4.6739302,17.47419355,18.1697006
CAL,S49,Nicholas R. Patton,43.12611188,-116.7890521,2.805,464.20401,11.5574999,17.475,11.6999998
CAL,S50,Nicholas R. Patton,43.12035214,-116.8005433,4.01,421.1440125,9.4428902,18.28666667,11.6999998
CAL,S51,Nicholas R. Patton,43.12283706,-116.7981045,10.97,929.177002,6.3752398,18.48833333,11.6999998
CAL,S52,Nicholas R. Patton,43.18051979,-116.7138797,1.595,-106.4889984,10.9786997,18.4965,11.6999998
CAL,S53,Nicholas R. Patton,43.12387104,-116.7826147,9.55,669.7550049,6.5927801,18.765,11.6999998
CAL,S55,Nicholas R. Patton,43.13058584,-116.7985533,5.07,505.8349915,9.5736198,19.43166667,11.6999998
CAL,S56,Nicholas R. Patton,43.2284173,-116.7368159,1.083076923,-98.3662033,11.1014004,19.68212121,0
CAL,S57,Nicholas R. Patton,43.12197197,-116.782117,8.75,1085.150024,7.7039499,20.20666667,11.6999998
CAL,S58,Nicholas R. Patton,43.13104556,-116.7960652,5.510588235,238.9140015,10.5711002,20.72380952,11.6999998
CAL,S59,Nicholas R. Patton,43.12258624,-116.7849555,7.558709677,876.6220093,5.9746599,20.75611111,11.6999998
CAL,S6,Nicholas R. Patton,43.12453364,-116.7860349,2.31,336.6029968,12.2628002,10.38,11.6999998
CAL,S60,Nicholas R. Patton,43.12222251,-116.7817345,8.6,873.6929932,6.2929001,20.97666667,11.6999998
CAL,S63,Nicholas R. Patton,43.0685844,-116.7588933,6.7,1276.380005,7.13276,22.06333333,37.5999985
CAL,S67,Nicholas R. Patton,43.14459543,-116.73561,3.6,-38.8689995,10.0209999,25.87,11.6999998
CAL,S68,Nicholas R. Patton,43.1439637,-116.7353485,2.434545455,-85.6993027,10.4624996,26.38645161,11.6999998
CAL,S7,Nicholas R. Patton,43.12749278,-116.7897313,4.4,347.6040039,11.1869001,10.49,11.6999998
CAL,S70,Nicholas R. Patton,43.16761023,-116.7130538,2.08,-9.6191101,10.4895,33.69333333,11.6999998
CAL,S72,Nicholas R. Patton,43.14393712,-116.7367838,2.242857143,-109.5830002,9.7494001,38.65352941,11.6999998
CAL,S73,Nicholas R. Patton,43.20024555,-116.7057467,1.98,-243.8029938,9.2375498,42.02777778,11.6999998
CAL,S74,Nicholas R. Patton,43.12363069,-116.7967467,8.658695652,375.5220032,9.3150396,55.82153846,11.6999998
CAL,S9,Nicholas R. Patton,43.12378073,-116.7876965,4.481666667,1039.52002,11.8063002,10.69714286,11.6999998
