FID,Field1,Site,site_code_,location_n,sample_col,lat,long,lat,long,gap_num_x,gap_size_x,gaps_x,depth_x,SOC,soil_lyrs_,layer_tops,calc_notes,CLAY,pGPP,estCLAY,TSOI,lig_N,DEM,SET
13,15,S15,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.12971095,-116.7934963,43.12971095,-116.7934963,0,0,NA,30,7.17,4,"0,5,10,20,30,50,75,100,125", ,11.26,929.6202423,10.5,9.9629402,11.6999998,1787.5,CAL
14,16,S16,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.20529592,-116.7506016,43.20529592,-116.7506016,0,0,NA,30,1.348333333,4,"0,5,10,20,32,63,80,105,127,156,176,200,230",trim: loess approx to 30 cm,11.260625,-1.51765,25.7999992,10.8393002,11.6999998,1201.910034,CAL
15,17,S17,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.12565165,-116.7811645,43.12565165,-116.7811645,0,0,NA,30,1.793125,2,"0,7",trim: cut to 30 cm,11.43563636,434.7017105,14.3000002,11.1189003,11.6999998,1608.390015,CAL
16,18,S18,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.24720654,-116.7071648,43.24720654,-116.7071648,0,0,NA,30,0.68,4,"0,5,10,20,30,50,75,85,130,142,172,190,225", ,11.63333333,-203.166993,12.3000002,11.2952003,11.6999998,1283.98999,CAL
17,19,S19,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.06815056,-116.7584612,43.06815056,-116.7584612,0,0,NA,30,10.3,4,"0,5,10,20,30,41,50", ,11.77166667,1237.044464,20.7000008,7.6005998,11.6999998,2062.73999,CAL
1,2,S2,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.11980227,-116.722923,43.11980227,-116.722923,0,0,NA,30,5.56,4,"0,5,10,20,30,50,75,89,126,142,175,192", ,6.333333333,563.3529541,22.2999992,7.6586399,15.5909996,1904.75,CAL
18,20,S20,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.06520205,-116.7593348,43.06520205,-116.7593348,0,0,NA,30,2.906666667,4,"0,5,10,20,32,55",trim: loess approx to 30 cm,11.87875,335.5407653,20.5,9.34935,11.6999998,2094.790039,CAL
20,22,S22,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.19273015,-116.8149283,43.19273015,-116.8149283,0,0,NA,30,2.73,4,"0,5,10,20,30,42,65", ,12.28333333,322.2949936,14.3000002,9.3677101,11.6999998,1657.01001,CAL
21,23,S23,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.12385697,-116.7800245,43.12385697,-116.7800245,0,0,NA,30,3.462142857,2,"0,12,40,90",trim: cut to 30 cm,12.293,455.28694,14.3000002,11.9081001,11.6999998,1549.530029,CAL
23,25,S25,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.13301998,-116.7920531,43.13301998,-116.7920531,0,0,NA,30,6.83,4,"0,5,10,20,30,50,75", ,12.33166667,208.7921021,14.3000002,9.8768396,11.6999998,1808.829956,CAL
25,27,S27,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.19159234,-116.8095646,43.19159234,-116.8095646,0,0,NA,30,4.628947368,4,"0,5,10,20",trim: loess approx to 30 cm,12.44717949,403.6910141,14.3000002,6.9818702,11.6999998,1600.76001,CAL
27,29,S29,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.12349175,-116.7874879,43.12349175,-116.7874879,0,0,NA,30,10.23648649,2,"0,8,45,85,100",trim: cut to 30 cm,12.678,1247.649438,14.3000002,5.5837402,11.6999998,1616.52002,OUT
2,3,S3,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.18866189,-116.8130672,43.18866189,-116.8130672,0,0,NA,30,5.91,4,"0,5,10,20,30,50", ,7.375,270.7988029,19.8950996,9.4678097,11.6999998,1649.530029,CAL
28,30,S30,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.18077561,-116.7145575,43.18077561,-116.7145575,0,0,NA,30,2.199230769,5,"0,5,15,18,29,42,53,71,83,96,106,116,126,136,146,156",trim: loess approx to 30 cm,13.10452381,20.66291435,17.8999996,10.4433002,11.6999998,1348.640015,CAL
29,31,S31,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.12421955,-116.7895852,43.12421955,-116.7895852,0,0,NA,30,3.017142857,2,"0,25",trim: cut to 30 cm,13.48833333,429.4685013,14.3000002,11.2613001,11.6999998,1667.420044,CAL
30,32,S32,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.12752508,-116.7925417,43.12752508,-116.7925417,0,0,NA,30,5.023333333,2,"0,20,50",trim: cut to 30 cm,13.516,651.1529236,10.5,10.6028996,11.6999998,1749.359985,OUT
31,33,S33,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.12416094,-116.7826214,43.12416094,-116.7826214,0,0,NA,30,3.03,4,"0,5,10,20,30,50", ,13.725,592.2667908,14.3000002,11.1452999,11.6999998,1570.189941,CAL
32,34,S34,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.1242439,-116.7916884,43.1242439,-116.7916884,0,0,NA,30,3.431090909,2,"0,13,68,100,125",trim: cut to 30 cm,13.98132353,650.019931,10.5,11.5906,11.6999998,1695.979981,OUT
33,35,S35,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.1220937,-116.7801683,43.1220937,-116.7801683,0,0,NA,30,4.92,3,"0,10,20,30,50,75", ,14.08333333,662.9570282,14.3000002,7.7888899,11.6999998,1584.890015,CAL
34,36,S36,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.19214026,-116.8079732,43.19214026,-116.8079732,0,0,NA,30,8.67,4,"0,5,10,20,30,50,77,102,138,150,175", ,14.18166667,418.1001557,14.3000002,6.73283,11.6999998,1562.069946,CAL
35,37,S37,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.12667447,-116.7868472,43.12667447,-116.7868472,0,0,NA,30,3.17,4,"0,5,10,20,30,50", ,14.255,571.2835815,14.3000002,11.8634005,11.6999998,1711.01001,CAL
36,38,S38,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.19243739,-116.8066319,43.19243739,-116.8066319,0,0,NA,30,5.67,4,"0,5,10,20,30", ,14.655,285.345507,14.3000002,7.66081,11.6999998,1556.089966,CAL
37,39,S39,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.12449119,-116.794308,43.12449119,-116.794308,0,0,NA,30,12.5,4,"0,5,10,20,30,50,75,100", ,14.86333333,1764.722016,20.3999996,8.5339699,15.8590002,1738.359985,CAL
3,4,S4,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.19347351,-116.810691,43.19347351,-116.810691,0,0,NA,30,1.759411765,4,"0,5,10,20",trim: loess approx to 30 cm,9.932162162,223.1760575,14.3000002,12.2800999,11.6999998,1592.23999,CAL
38,40,S40,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.12303738,-116.7856704,43.12303738,-116.7856704,0,0,NA,30,5.821428571,2,"0,15,50,85",trim: cut to 30 cm,15.234,864.2598571,14.3000002,6.0898199,11.6999998,1613.140015,OUT
40,42,S42,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.11716535,-116.7257274,43.11716535,-116.7257274,0,0,NA,30,7.66,4,"0,5,10,20,30,50,70,90", ,15.65333333,682.785199,22.2999992,7.9834599,11.6999998,1915.540039,CAL
41,43,S43,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.06447579,-116.7485631,43.06447579,-116.7485631,0,0,NA,30,9.16,4,"0,5,10,20,30,40,50,60,70,80,90,100", ,15.70833333,393.5018036,20.5,7.9335999,11.6999998,2110.649902,CAL
42,44,S44,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.12303246,-116.7927984,43.12303246,-116.7927984,0,0,NA,30,9.827142857,2,"0,10,45,70,100",trim: cut to 30 cm,15.81888889,1802.816046,20.3999996,7.5053802,11.6999998,1729.900024,OUT
45,47,S47,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.12875942,-116.7929445,43.12875942,-116.7929445,0,0,NA,30,7.027777778,2,"0,23,50,75",trim: cut to 30 cm,17.443,641.171579,10.5,10.5836,11.6999998,1775.26001,CAL
46,48,S48,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.12317978,-116.7878097,43.12317978,-116.7878097,0,0,NA,30,3.768461538,2,"0,18",trim: cut to 30 cm,17.47419355,854.0822144,14.3000002,4.6739302,18.1697006,1638.219971,CAL
