Site,pset,desorb_h,desorb_y,Clay,ANPP
ARC,Sandbox,0.00001391615,0.121905474,5,141
BNZ,Sandbox,0.00001391615,0.121905474,5,300
NWT,Sandbox,0.00001062331,0.093060196,23,199
HBR,Sandbox,0.00001433996,0.12561805,3,704
CDR,Sandbox,0.00001412647,0.123747877,4,277
HFR,Sandbox,0.00001197774,0.104925002,15,744
AND,Sandbox,0.00001271841,0.111413272,11,800
SGS,Sandbox,0.00001046514,0.091674626,24,116
KBS,Sandbox,0.00001162375,0.10182405,17,431
CWT,Sandbox,0.00001162375,0.10182405,17,1460
KNZ,Sandbox,0.00000835659,0.073203711,39,443
JRN,Sandbox,0.00001291062,0.113097031,10,229
SEV,Sandbox,0.00001252905,0.109754478,12,184
LUQ,Sandbox,0.00000928175,0.081308139,32,1050
ARC,MCMC,0.00003289160,0.288130416,5,141
BNZ,MCMC,0.00003289160,0.288130416,5,300
NWT,MCMC,0.00002510877,0.219952825,23,199
HBR,MCMC,0.00003389330,0.296905308,3,704
CDR,MCMC,0.00003338869,0.292484924,4,277
HFR,MCMC,0.00002831006,0.247996126,15,744
AND,MCMC,0.00003006066,0.263331382,11,800
SGS,MCMC,0.00002473495,0.216678162,24,116
KBS,MCMC,0.00002747337,0.240666721,17,431
CWT,MCMC,0.00002747337,0.240666721,17,1460
KNZ,MCMC,0.00001975126,0.173021038,39,443
JRN,MCMC,0.00003051496,0.26731105,10,229
SEV,MCMC,0.00002961311,0.259410844,12,184
LUQ,MCMC,0.00002193793,0.192176267,32,1050
